Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,20,Parade College,Secondary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,329.0,338.0,311.0,304.0,304.0,0.0,1946.0,1946.0,2024,F
Catholic,2,25,Simonds Catholic College,Secondary,O,SOUTH-WESTERN VICTORIA,Melbourne (C),Western Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,71.0,64.0,82.0,65.0,66.0,0.0,400.0,400.0,2024,F
Catholic,2,26,St Marys College Melbourne,Secondary,O,SOUTH-EASTERN VICTORIA,Port Phillip (C),Bayside Peninsula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,71.0,85.0,85.0,76.0,100.0,0.0,474.0,474.0,2024,F
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,220.0,243.0,233.0,200.0,184.0,0.0,1291.0,1291.0,2024,F
Catholic,2,29,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,29.0,27.0,35.0,35.0,43.0,36.0,39.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,2024,F
Catholic,2,30,St Alipius' Parish School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,38.0,34.0,25.0,34.0,41.0,34.0,31.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,2024,F
Catholic,2,33,Emmanuel College Warrnambool,Secondary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,233.0,231.0,211.1,212.0,179.1,0.0,1323.2,1323.2,2024,F
Catholic,2,35,Loreto College,Secondary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,158.0,174.0,149.0,165.0,0.0,960.0,960.0,2024,F
Catholic,2,60,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Mansfield (S),Ovens Murray,16.0,28.0,25.0,16.2,17.0,26.0,29.0,0.0,157.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2,2024,F
Catholic,2,77,Sacred Heart School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,39.0,40.0,44.0,41.0,47.0,43.0,47.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,2024,F
Catholic,2,78,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,34.0,50.0,34.0,30.0,34.0,36.0,37.6,0.0,255.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.6,2024,F
Catholic,2,98,St Michaels Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Melbourne (C),Western Melbourne,33.0,44.0,25.0,43.0,27.0,31.0,21.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,2024,F
Catholic,2,104,St Patrick's School,Primary,O,NORTH-EASTERN VICTORIA,Wangaratta (RC),Ovens Murray,37.0,28.0,33.0,44.0,31.6,29.0,51.0,0.0,253.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6,2024,F
Catholic,2,107,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,Port Phillip (C),Bayside Peninsula,17.0,13.0,14.0,22.0,21.0,29.0,17.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,2024,F
Catholic,2,111,Assumption College,Secondary,O,NORTH-EASTERN VICTORIA,Mitchell (S),Goulburn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,245.0,269.0,260.0,207.0,221.0,0.0,1479.0,1479.0,2024,F
Catholic,2,113,St Brendan's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,8.0,14.0,6.0,16.0,13.0,8.0,15.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2024,F
